,Importance
Failed_Transaction_Count_7d,0.9262392288171647
Transaction_Distance,0.010077815282578674
Transaction_Amount,0.009632905074260935
Avg_Transaction_Amount_7d,0.009256494325973433
Account_Balance,0.009214635957606692
Card_Age,0.007866322005729844
Hour,0.005229213649019219
Daily_Transaction_Count,0.0043607663505756886
Device_Type_Mobile,0.0009717248040771354
Is_Weekend,0.0009111670951640571
Authentication_Method_OTP,0.0008898366591699641
Transaction_Type_ATM Withdrawal,0.0008714391848333063
Device_Type_Tablet,0.0008711263871034483
Device_Type_Laptop,0.0008388065553999095
Merchant_Category_Restaurants,0.0008340134696859376
